url,primary_category,secondary_category,product_category
https://www.bigbasket.com/pc/foodgrains-oil-masala/organic-staples/organic-edible-oil-ghee/,foodgrains-oil-masala,organic-staples,organic-edible-oil-ghee
https://www.bigbasket.com/pc/foodgrains-oil-masala/edible-oils-ghee/blended-cooking-oils/,foodgrains-oil-masala,edible-oils-ghee,blended-cooking-oils
https://www.bigbasket.com/pc/foodgrains-oil-masala/edible-oils-ghee/sunflower-rice-bran-oil/,foodgrains-oil-masala,edible-oils-ghee,sunflower-rice-bran-oil
https://www.bigbasket.com/pc/foodgrains-oil-masala/edible-oils-ghee/soya-mustard-oils/,foodgrains-oil-masala,edible-oils-ghee,soya-mustard-oils
https://www.bigbasket.com/pc/foodgrains-oil-masala/edible-oils-ghee/ghee-vanaspati/,foodgrains-oil-masala,edible-oils-ghee,ghee-vanaspati
https://www.bigbasket.com/pc/foodgrains-oil-masala/edible-oils-ghee/gingelly-oil/,foodgrains-oil-masala,edible-oils-ghee,gingelly-oil
https://www.bigbasket.com/pc/foodgrains-oil-masala/edible-oils-ghee/gingelly-groundnut-oils/,foodgrains-oil-masala,edible-oils-ghee,gingelly-groundnut-oils
https://www.bigbasket.com/pc/foodgrains-oil-masala/edible-oils-ghee/cooking-coconut-oil/,foodgrains-oil-masala,edible-oils-ghee,cooking-coconut-oil
https://www.bigbasket.com/pc/foodgrains-oil-masala/edible-oils-ghee/olive-canola-oils/,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils
https://www.bigbasket.com/pc/foodgrains-oil-masala/edible-oils-ghee/other-edible-oils/,foodgrains-oil-masala,edible-oils-ghee,other-edible-oils
https://www.bigbasket.com/pc/foodgrains-oil-masala/edible-oils-ghee/cold-pressed-oil/,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil
https://www.bigbasket.com/pc/foodgrains-oil-masala/salt-sugar-jaggery/sugar-jaggery/,foodgrains-oil-masala,salt-sugar-jaggery,sugar-jaggery
https://www.bigbasket.com/pc/foodgrains-oil-masala/salt-sugar-jaggery/salts/,foodgrains-oil-masala,salt-sugar-jaggery,salts
https://www.bigbasket.com/pc/foodgrains-oil-masala/salt-sugar-jaggery/sugarfree-sweeteners/,foodgrains-oil-masala,salt-sugar-jaggery,sugarfree-sweeteners
https://www.bigbasket.com/pc/foodgrains-oil-masala/masalas-spices/whole-spices/,foodgrains-oil-masala,masalas-spices,whole-spices
https://www.bigbasket.com/pc/foodgrains-oil-masala/masalas-spices/powdered-spices/,foodgrains-oil-masala,masalas-spices,powdered-spices
https://www.bigbasket.com/pc/foodgrains-oil-masala/masalas-spices/cooking-pastes/,foodgrains-oil-masala,masalas-spices,cooking-pastes
https://www.bigbasket.com/pc/foodgrains-oil-masala/masalas-spices/herbs-seasoning/,foodgrains-oil-masala,masalas-spices,herbs-seasoning
https://www.bigbasket.com/pc/foodgrains-oil-masala/masalas-spices/blended-masalas/,foodgrains-oil-masala,masalas-spices,blended-masalas
https://www.bigbasket.com/pc/foodgrains-oil-masala/dry-fruits/almonds/,foodgrains-oil-masala,dry-fruits,almonds
https://www.bigbasket.com/pc/foodgrains-oil-masala/dry-fruits/cashews/,foodgrains-oil-masala,dry-fruits,cashews
https://www.bigbasket.com/pc/foodgrains-oil-masala/dry-fruits/raisins/,foodgrains-oil-masala,dry-fruits,raisins
https://www.bigbasket.com/pc/foodgrains-oil-masala/dry-fruits/mukhwas/,foodgrains-oil-masala,dry-fruits,mukhwas
https://www.bigbasket.com/pc/foodgrains-oil-masala/dry-fruits/other-dry-fruits/,foodgrains-oil-masala,dry-fruits,other-dry-fruits
https://www.bigbasket.com/pc/bakery-cakes-dairy/dairy/milk/,bakery-cakes-dairy,dairy,milk
https://www.bigbasket.com/pc/bakery-cakes-dairy/dairy/curd/,bakery-cakes-dairy,dairy,curd
https://www.bigbasket.com/pc/bakery-cakes-dairy/dairy/paneer-tofu-cream/,bakery-cakes-dairy,dairy,paneer-tofu-cream
https://www.bigbasket.com/pc/bakery-cakes-dairy/dairy/butter-margarine/,bakery-cakes-dairy,dairy,butter-margarine
https://www.bigbasket.com/pc/bakery-cakes-dairy/dairy/condensed-powdered-milk/,bakery-cakes-dairy,dairy,condensed-powdered-milk
https://www.bigbasket.com/pc/bakery-cakes-dairy/dairy/cheese/,bakery-cakes-dairy,dairy,cheese
https://www.bigbasket.com/pc/bakery-cakes-dairy/dairy/buttermilk-lassi/,bakery-cakes-dairy,dairy,buttermilk-lassi
https://www.bigbasket.com/pc/bakery-cakes-dairy/dairy/yogurt-shrikhand/,bakery-cakes-dairy,dairy,yogurt-shrikhand
https://www.bigbasket.com/pc/bakery-cakes-dairy/dairy/flavoured-soya-milk/,bakery-cakes-dairy,dairy,flavoured-soya-milk
https://www.bigbasket.com/pc/bakery-cakes-dairy/breads-buns/brown-wheat-multigrain/,bakery-cakes-dairy,breads-buns,brown-wheat-multigrain
https://www.bigbasket.com/pc/bakery-cakes-dairy/breads-buns/milk-white-sandwich/,bakery-cakes-dairy,breads-buns,milk-white-sandwich
https://www.bigbasket.com/pc/bakery-cakes-dairy/breads-buns/buns-pavs-pizza-base/,bakery-cakes-dairy,breads-buns,buns-pavs-pizza-base
https://www.bigbasket.com/pc/bakery-cakes-dairy/non-dairy/dairy-free-vegan/,bakery-cakes-dairy,non-dairy,dairy-free-vegan
https://www.bigbasket.com/pc/bakery-cakes-dairy/gourmet-breads/croissants-bagels/,bakery-cakes-dairy,gourmet-breads,croissants-bagels
https://www.bigbasket.com/pc/bakery-cakes-dairy/gourmet-breads/panini-focaccia-pita/,bakery-cakes-dairy,gourmet-breads,panini-focaccia-pita
https://www.bigbasket.com/pc/bakery-cakes-dairy/gourmet-breads/bagels-baguette/,bakery-cakes-dairy,gourmet-breads,bagels-baguette
